"Progress on the 78 long-term drinking water advisories affecting First Nations as of April 2016, Canada, 2016 to 2018",,
,,
Month,Number of long-term drinking water advisories lifted,Long-term drinking water advisories remaining
April 2016,n/a,78
May 2016,1,77
June 2016,2,75
July 2016,1,74
August 2016,1,73
September 2016,1,72
October 2016,2,70
November 2016,1,69
December 2016,1,68
January 2017,1,67
February 2017,0,67
March 2017,1,66
April 2017,2,64
May 2017,2,62
June 2017,0,62
July 2017,0,62
August 2017,1,61
September 2017,0,61
October 2017,0,61
November 2017,0,61
December 2017,0,61
January 2018,0,61
February 2018,11,50
March 2018,2,48
April 2018,1,47
May 2018,0,47
June 2018,2,45
July 2018,1,44
,,
Note: n/a = not applicable. The table shows the number of long-term drinking water advisories remaining in effect at the end of each month from the original 78 advisories.,,
Source: Indigenous Services Canada (2018) Ending long-term drinking water advisories in First Nations communities.,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,
